damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Affected (1-9%),Road,SLU,8/1/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,1997
Destroyed (>50%),Road,SLU,8/1/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1997
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Other,Multi Pane,Combustible,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1988
No Damage,Drive,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1958
No Damage,Drive,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,1958
No Damage,Drive,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Infrastructure,Infrastructure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,
Minor (10-25%),Road,RRU,7/31/2020 12:00:00 AM,Infrastructure,Infrastructure,Metal,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,Non Combustible,
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Single Pane,Non Combustible,No Fence,
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Infrastructure,Infrastructure,Metal,No Eaves,Stucco Brick Cement,Unknown,No Patio Cover/Carport,No Fence,
No Damage,None,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Metal,Multi Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Stucco Brick Cement,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Wood,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1989
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Other,Multi Pane,No Patio Cover/Carport,No Fence,2009
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2017
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
Minor (10-25%),Road,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Lane,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Other,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1950
Inaccessible,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1966
Destroyed (>50%),Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Vinyl,Single Pane,No Patio Cover/Carport,Non Combustible,1943
Destroyed (>50%),Avenue,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Vinyl,No Windows,No Patio Cover/Carport,No Fence,1943
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1934
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,No Fence,2003
Destroyed (>50%),Street,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,No Fence,
Destroyed (>50%),Street,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Unknown,No Fence,1922
Destroyed (>50%),Street,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Wood,Unknown,Unknown,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1922
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1989
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1989
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Concrete,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,2006
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,Non Combustible,2006
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Vinyl,Multi Pane,No Patio Cover/Carport,Non Combustible,2007
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Metal,No Windows,No Patio Cover/Carport,Non Combustible,2007
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1984
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,No Eaves,Wood,Single Pane,No Patio Cover/Carport,No Fence,1984
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Metal,Single Pane,No Patio Cover/Carport,No Fence,1922
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,1922
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Wood,No Windows,No Patio Cover/Carport,No Fence,1989
No Damage,Drive,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Multi Pane,Non Combustible,No Fence,2006
Destroyed (>50%),Road,SLU,8/1/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,1969
No Damage,Court,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Vinyl,Multi Pane,No Patio Cover/Carport,Combustible,
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1941
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,Non Combustible,No Fence,1941
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,Non Combustible,No Fence,1982
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Other,No Eaves,Other,No Windows,Combustible,No Fence,
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Other,No Eaves,Other,No Windows,Combustible,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,Non Combustible,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,Non Combustible,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,Non Combustible,No Fence,
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,1948
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1948
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1975
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,1948
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Other,No Eaves,Other,No Windows,Combustible,No Fence,
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1942
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,Non Combustible,1991
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,1940
No Damage,Road,BDU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1940
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1968
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2004
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1978
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Street,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1977
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,Combustible,Non Combustible,1991
Minor (10-25%),Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,Non Combustible,No Fence,1991
No Damage,Lane,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1948
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1986
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1987
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,None,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Stucco Brick Cement,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,Non Combustible,1984
No Damage,Lane,BDU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1988
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1966
No Damage,Drive,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1911
Minor (10-25%),Drive,AEU,7/4/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,No Windows,No Patio Cover/Carport,No Fence,1994
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1944
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1965
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,Non Combustible,No Fence,1995
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,1995
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Concrete,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,1990
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1987
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Other,No Windows,No Patio Cover/Carport,No Fence,1987
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,Non Combustible,1987
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,1972
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,1968
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,No Patio Cover/Carport,No Fence,1968
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,1985
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,1985
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,Combustible,0
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,0
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,1994
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,1994
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,Multi Pane,No Patio Cover/Carport,Non Combustible,1994
Destroyed (>50%),Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,0
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Combustible,No Fence,2000
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Wood,Multi Pane,Combustible,No Fence,2000
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,2004
No Damage,Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1990
Affected (1-9%),Drive,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,1976
Affected (1-9%),Drive,KRN,8/3/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,1976
Destroyed (>50%),Road,KRN,8/3/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Multi Pane,No Patio Cover/Carport,No Fence,1992
